team_id,team_name,api_id
1,Arsenal FC,57
2,FC Bayern München,5
3,Liverpool FC,64
4,Tottenham Hotspur FC,73
5,FC Barcelona,81
6,Chelsea FC,61
7,Sporting Clube de Portugal,498
8,Manchester City FC,65
9,Real Madrid CF,86
10,FC Internazionale Milano,108
11,Paris Saint-Germain FC,524
12,Newcastle United FC,67
13,Juventus FC,109
14,Club Atlético de Madrid,78
15,Atalanta BC,102
16,Bayer 04 Leverkusen,3
17,Borussia Dortmund,4
18,PAE Olympiakos SFP,654
19,Club Brugge KV,851
20,Galatasaray SK,610
21,AS Monaco FC,548
22,Qarabağ Ağdam FK,611
23,FK Bodø/Glimt,5721
24,Sport Lisboa e Benfica,1903
25,Olympique de Marseille,516
26,Paphos FC,11034
27,Royale Union Saint-Gilloise,3929
28,PSV,674
29,Athletic Club,77
30,SSC Napoli,113
31,FC København,1876
32,AFC Ajax,678
33,Eintracht Frankfurt,19
34,SK Slavia Praha,930
35,Villarreal CF,94
36,FK Kairat,10601
37,,
